English,Polish,shriek,wrzask
English,Polish,reconcilable,Godzienny
English,Polish,gainsay,kwestionować
English,Polish,metastasis,przerzut
English,Polish,abet,pomagać w przestępstwie
English,Polish,precarious,niepewny
English,Polish,aggrandizement,powiększenie
English,Polish,fracture,pęknięcie
English,Polish,sequestration,sekwestr
English,Polish,vanquish,pokonać
English,Polish,truly,naprawdę
English,Polish,treaty,traktat
Polish,English,traktować jako ważną osobistość,lionize
English,Polish,tortuous,kręty
English,Polish,syncretic,synkretyczne
English,Polish,stipulate,zastrzec
English,Polish,stark contrast,wyraźny kontrast
English,Polish,stark,sztywny
English,Polish,smallpox,ospy
English,Polish,repudiate,rozwodzić się
Polish,English,przynęta,bait
English,Polish,proselytizing,prozelityzmu
English,Polish,promulgation,opublikowanie
English,Polish,proliferating,proliferacji
English,Polish,proliferate,rozmnażać się
English,Polish,progeny,potomstwo
English,Polish,presumptuous,zarozumiały
English,Polish,precarious,niepewnej
English,Polish,peninsula,półwysep
English,Polish,nascent,rodzącej
English,Polish,meritorious,zasłużony
English,Polish,inexorable,nieubłagany
English,Polish,indigenous,rdzennych
English,Polish,indefatigable,niestrudzony
English,Polish,inadvertently,przypadkowo
English,Polish,impervious,nieprzepuszczalny
English,Polish,expulsion,wydalenia
English,Polish,expropriation,wywłaszczenia
English,Polish,equanimity,spokój umysłu
English,Polish,dreadful,straszny
English,Polish,devise,opracowania
English,Polish,demur,obiekcja
English,Polish,demesne,majątek
English,Polish,defiance,bunt
English,Polish,deference,poważanie
English,Polish,cronyism,kumoterstwo
Polish,English,centryfuga,centrifuge
English,Polish,bliss,błogość
English,Polish,beseech,błagać
English,Polish,beguile,oczarować
English,Polish,befall,zdarzać się
English,Polish,avariciousness,chciwości
English,Polish,armistice,zawieszenie broni
English,Polish,anguish,boleść
English,Polish,admonition,napomnienie
English,Polish,convergence,konwergencja
English,Polish,sentient,odczuwający
English,Polish,sagacity,mądrość
English,Polish,suffrage,prawo wyborcze
English,English,inundated,inundated
English,Polish,plausible,do przyjęcia
English,Polish,chiseling,dłutowanie
English,Polish,incredible,niesamowite
English,Polish,morbid,chorobliwy
English,Polish,buccaneer,pirat
Polish,English,wskaznik,indicator
English,Polish,salient,wystający
English,Polish,flywheel,koło zamachowe
English,Polish,crankshaft,wał korbowy
English,Polish,camshaft,Wałek rozrządu
English,Polish,piston,tłok
English,Polish,abundance,obfitość
English,Polish,conceited,zarozumiały
English,Polish,predicament,kłopot
English,Polish,sinister,złowrogi
English,Polish,bemused,otumaniony
English,Polish,obnoxious,nieznośny
English,Polish,lynchpin,Fundamentem
Spanish,Polish,reprehensible,naganny
English,Polish,rumination,przeżuwanie
English,Polish,diffuse,rozpraszać
English,Polish,Superficial,Powierzchowny
English,Polish,Lent,Wielki Post
English,Polish,remorse,żal
English,Polish,exert,wywierać
English,Polish,reciprocity,wzajemność
English,Polish,ludicrous,śmieszny
English,Polish,upshot,rezultat
English,Polish,stifle,stłumić
English,Polish,exasperated,rozdrażniony
English,Polish,exasperation,rozdrażnienie
English,Polish,disparate,różny
English,Polish,indigent,biedny
English,Polish,stipulation,zastrzeżenie